region,region_name,species,management_units,class,season_open,season_close,weapon_type,bag_limit,notes
3,Thompson,Dove (Mourning),3-12 to 3-20 | 3-26 to 3-44,Any,Sept 1,Sept 30,Rifle,5 (15 possession),
3,Thompson,Dove (Eurasian Collared),3-12 to 3-20 | 3-26 to 3-44,Any,Sept 1,Sept 30,Rifle,5 (15 possession),
3,Thompson,Band-tailed Pigeon,3-13 to 3-17,Any,Sept 15,Sept 30,Rifle,5 (15 possession),
3,Thompson,Common Snipe,3-12 to 3-20 | 3-26 to 3-44,Any,Sept 8,Dec 23,Shotgun,10 (30 possession),
3,Thompson,Coots,3-12 to 3-20 | 3-26 to 3-44,Any,Sept 8,Dec 23,Shotgun,10 (30 possession),
3,Thompson,Ducks,3-12 to 3-20 | 3-26 to 3-44,Any,Sept 8,Dec 23,Shotgun,8 (24 possession),Daily aggregate 8; max 4 Pintails; 4 Canvasbacks; 2 Goldeneyes aggregate; 2 Harlequins
3,Thompson,Geese (Snow & Ross's),3-12 to 3-20 | 3-26 to 3-44,Any,Sept 8,Dec 23,Shotgun,5 (15 possession),
3,Thompson,Geese (White-fronted),3-12 to 3-20 | 3-26 to 3-44,Any,Sept 8,Dec 23,Shotgun,5 (15 possession),
3,Thompson,Geese (Canada & Cackling),3-12 to 3-20 | 3-26 to 3-44,Any,Sept 8,Sept 20,Shotgun,10 (30 possession),
3,Thompson,Geese (Canada & Cackling),3-12 to 3-20 | 3-26 to 3-44,Any,Oct 1,Dec 23,Shotgun,10 (30 possession),
3,Thompson,Geese (Canada & Cackling),3-12 to 3-20 | 3-26 to 3-44,Any,Mar 1,Mar 10,Shotgun,10 (30 possession),
